name,latitude,longitude,state,admin2_code,geonameid
Russell County,32.28838,-85.18496,AL,113,4047434
Long County,31.75258,-81.74577,GA,183,4048080
Boone County,38.96986,-84.72787,KY,015,4048522
Rowan County,38.19626,-83.42108,KY,205,4048572
Bibb County,32.99864,-87.12644,AL,007,4049189
Campbell County,36.40351,-84.14938,TN,013,4050506
Blount County,33.98087,-86.56737,AL,009,4050633
Bullock County,32.10055,-85.7157,AL,011,4052497
Butler County,31.75243,-86.68029,AL,013,4052744
Calhoun County,33.77143,-85.82603,AL,015,4053062
Chambers County,32.91437,-85.39204,AL,017,4054621
Cherokee County,34.17596,-85.60379,AL,019,4054880
Chilton County,32.84785,-86.71881,AL,021,4055067
Choctaw County,32.01961,-88.2632,AL,023,4055170
Clarke County,31.67666,-87.83081,AL,025,4055624
Clay County,33.26909,-85.86055,AL,027,4055660
Cleburne County,33.67456,-85.51877,AL,029,4055785
Coffee County,31.40263,-85.98821,AL,031,4056099
Colbert County,34.70043,-87.80498,AL,033,4056165
Conecuh County,31.42927,-86.99368,AL,035,4056592
Coosa County,32.93623,-86.24766,AL,037,4056809
Covington County,31.24849,-86.45125,AL,039,4057296
Crenshaw County,31.73149,-86.31355,AL,041,4057517
Cullman County,34.13194,-86.86762,AL,043,4057837
Dale County,31.43182,-85.61103,AL,045,4058052
Dallas County,32.32597,-87.10648,AL,047,4058076
DeKalb County,34.45977,-85.80414,AL,049,4058479
Elmore County,32.59665,-86.14915,AL,051,4060563
Escambia County,31.12612,-87.16162,AL,053,4060870
Etowah County,34.04525,-86.03476,AL,055,4060938
Fayette County,33.72121,-87.73886,AL,057,4061590
Franklin County,34.44167,-87.84381,AL,059,4063130
Geneva County,31.09502,-85.83898,AL,061,4063931
Greene County,32.85314,-87.95223,AL,063,4065243
Hale County,32.76266,-87.62912,AL,065,4065796
Henry County,31.51469,-85.24141,AL,067,4066911
Houston County,31.15318,-85.30252,AL,069,4068296
Jackson County,34.77941,-85.9993,AL,071,4069472
Jefferson County,33.55431,-86.89649,AL,073,4069696
Lamar County,33.77921,-88.0969,AL,075,4071676
Lauderdale County,34.90137,-87.654,AL,077,4071898
Lawrence County,34.52165,-87.31104,AL,079,4071959
Lee County,32.60114,-85.35556,AL,081,4072098
Limestone County,34.81008,-86.98137,AL,083,4072707
Lowndes County,32.15475,-86.65011,AL,085,4073885
Macon County,32.38597,-85.69267,AL,087,4074246
Madison County,34.76309,-86.55021,AL,089,4074277
Marengo County,32.24761,-87.78952,AL,091,4074590
