name,latitude,longitude,state,admin2_code,geonameid
Bay Minette,30.88296,-87.77305,AL,003,4046255
Edna,28.97859,-96.64609,TX,239,4046274
Henderson,32.15322,-94.79938,TX,401,4046332
Yorktown,37.23876,-76.50967,VA,199,4046946
Stockton,39.43807,-99.2651,KS,163,4048488
Paducah,37.08339,-88.60005,KY,145,4048662
Birmingham,33.52066,-86.80249,AL,073,4049979
Brewton,31.10518,-87.07219,AL,053,4051714
Butler,32.08959,-88.22197,AL,023,4052726
Camden,31.99098,-87.29055,AL,131,4053200
Carrollton,33.26169,-88.09503,AL,107,4053823
Centre,34.15204,-85.67885,AL,019,4054555
Centreville,32.9462,-87.11669,AL,007,4054566
Chatom,31.46517,-88.25446,AL,129,4054818
Clanton,32.83874,-86.62943,AL,021,4055577
Clayton,31.87822,-85.44966,AL,005,4055696
Columbiana,33.17817,-86.60721,AL,117,4056427
Cullman,34.17482,-86.84361,AL,043,4057835
Dadeville,32.83124,-85.76357,AL,123,4058027
Decatur,34.60593,-86.98334,AL,103,4058553
Dothan,31.22323,-85.39049,AL,069,4059102
Double Springs,34.14637,-87.40247,AL,133,4059162
Eutaw,32.84059,-87.88762,AL,063,4060991
Evergreen,31.4335,-86.95692,AL,035,4061064
Fayette,33.68455,-87.83085,AL,057,4061586
Florence,34.79981,-87.67725,AL,077,4062577
Fort Payne,34.44425,-85.71969,AL,049,4062861
Gadsden,34.01434,-86.00639,AL,055,4063619
Geneva,31.03296,-85.86382,AL,061,4063926
Greensboro,32.70415,-87.5955,AL,065,4065282
Greenville,31.8296,-86.61775,AL,013,4065302
Grove Hill,31.70877,-87.77722,AL,025,4065475
Guntersville,34.35823,-86.29446,AL,095,4065649
Hamilton,34.14232,-87.98864,AL,093,4065965
Hayneville,32.18403,-86.58025,AL,085,4066661
Heflin,33.64899,-85.58746,AL,029,4066793
Huntsville,34.7304,-86.58594,AL,089,4068590
Jasper,33.83122,-87.27751,AL,127,4069659
Lafayette,32.89985,-85.40106,AL,017,4071267
Linden,32.30625,-87.79807,AL,091,4072752
Livingston,32.5843,-88.18725,AL,119,4073383
Luverne,31.71655,-86.26385,AL,041,4073985
Marion,32.63235,-87.31917,AL,105,4074673
Mobile,30.69436,-88.04305,AL,097,4076598
Monroeville,31.52794,-87.32471,AL,099,4076725
Moulton,34.48121,-87.29335,AL,079,4077329
Opelika,32.64541,-85.37828,AL,081,4081644
Oneonta,33.94815,-86.47276,AL,009,4081671
Ozark,31.45906,-85.64049,AL,045,4081936
Phenix City,32.47098,-85.00077,AL,113,4082866
Prattville,32.46402,-86.4597,AL,001,4084796
Rockford,32.88957,-86.21969,AL,037,4086637
Russellville,34.50787,-87.72864,AL,059,4087313
Scottsboro,34.67231,-86.03415,AL,071,4088916
Selma,32.40736,-87.0211,AL,047,4089114
Talladega,33.43594,-86.1058,AL,121,4092788
Troy,31.80877,-85.96995,AL,109,4094163
Tuscaloosa,33.20984,-87.56917,AL,125,4094455
Tuscumbia,34.7312,-87.70253,AL,033,4094484
Tuskegee,32.42415,-85.69096,AL,087,4094490
Union Springs,32.14432,-85.71495,AL,011,4094975
Vernon,33.75705,-88.10892,AL,075,4095392
Wedowee,33.309,-85.48467,AL,111,4096712
Wetumpka,32.54374,-86.21191,AL,051,4097257
Arkadelphia,34.12093,-93.05378,AR,019,4099647
Arkansas City,33.60872,-91.20678,AR,041,4099673
Ash Flat,36.22396,-91.60848,AR,135,4099837
Ashdown,33.67429,-94.13131,AR,081,4099852
Augusta,35.28231,-91.36541,AR,147,4099952
Batesville,35.7698,-91.64097,AR,063,4100525
Benton,34.56454,-92.58683,AR,125,4101241
Bentonville,36.37285,-94.20882,AR,007,4101260
Camden,33.58456,-92.83433,AR,103,4104182
Clarendon,34.69315,-91.31374,AR,095,4105824
Clarksville,35.47147,-93.46657,AR,071,4105879
Clinton,35.59147,-92.46044,AR,141,4106074
Conway,35.0887,-92.4421,AR,045,4106458
De Queen,34.03789,-94.34132,AR,133,4107802
El Dorado,33.20763,-92.66627,AR,139,4109785
Fayetteville,36.06258,-94.15743,AR,143,4110486
Fordyce,33.81372,-92.41293,AR,039,4111319
Forrest City,35.00815,-90.78983,AR,123,4111382
Hamburg,33.22818,-91.79763,AR,003,4113607
Hampton,33.53789,-92.46988,AR,013,4113647
Harrisburg,35.56425,-90.71678,AR,111,4113951
Harrison,36.22979,-93.10768,AR,009,4113956
Heber Springs,35.49147,-92.03126,AR,023,4114225
Helena,34.52955,-90.59177,AR,107,4114272
Hope,33.66706,-93.59157,AR,057,4115181
Hot Springs,34.5037,-93.05518,AR,051,4115412
Huntsville,36.08619,-93.7413,AR,087,4115658
Jasper,36.00813,-93.18657,AR,101,4116400
Lake Village,33.32873,-91.28178,AR,017,4118121
Lewisville,33.35846,-93.57768,AR,073,4118755
Lonoke,34.78398,-91.89986,AR,085,4119817
Magnolia,33.26707,-93.23933,AR,027,4120323
Malvern,34.36231,-92.81295,AR,059,4120388
Marianna,34.77371,-90.75761,AR,077,4120508
Marion,35.21453,-90.19648,AR,035,4120524
Marshall,35.90896,-92.63127,AR,129,4120611
Melbourne,36.05951,-91.90848,AR,065,4121256
Mena,34.58622,-94.23966,AR,113,4121297
Monticello,33.629,-91.79096,AR,043,4122015
Morrilton,35.15092,-92.74405,AR,029,4122218
Mount Ida,34.55676,-93.63408,AR,097,4122466
Mountain View,35.86841,-92.11765,AR,137,4122986
Mountain Home,36.33534,-92.38516,AR,005,4123037
Murfreesboro,34.06233,-93.6899,AR,109,4123162
Nashville,33.94567,-93.84713,AR,061,4123271
Newport,35.6048,-91.2818,AR,067,4123830
Paragould,36.0584,-90.49733,AR,055,4125388
Perryville,35.00481,-92.80267,AR,105,4125875
Pine Bluff,34.22843,-92.0032,AR,069,4126226
Pocahontas,36.26146,-90.97123,AR,121,4126923
Prescott,33.80261,-93.38101,AR,099,4127433
Rison,33.95843,-92.19015,AR,025,4128469
Russellville,35.27842,-93.13379,AR,115,4129397
Salem,36.37118,-91.82265,AR,049,4129962
Searcy,35.25064,-91.73625,AR,145,4130430
Sheridan,34.30704,-92.40127,AR,053,4130821
Star City,33.94288,-91.84347,AR,079,4132227
Texarkana,33.44179,-94.03769,AR,091,4133367
Van Buren,35.43676,-94.34827,AR,033,4134716
Waldron,34.89843,-94.09076,AR,127,4135004
Walnut Ridge,36.0684,-90.95595,AR,075,4135205
Warren,33.61261,-92.06458,AR,011,4135349
Wynne,35.22453,-90.78678,AR,037,4137215
Yellville,36.22618,-92.68489,AR,089,4137291
Georgetown,38.69011,-75.38547,DE,005,4142643
Wilmington,39.74595,-75.54659,DE,003,4145381
Apalachicola,29.726,-84.9856,FL,037,4146148
Arcadia,27.21588,-81.85842,FL,027,4146206
Bartow,27.89641,-81.84314,FL,105,4146723
Blountstown,30.44379,-85.04744,FL,013,4148237
Bonifay,30.79186,-85.67965,FL,059,4148526
Bradenton,27.49893,-82.57482,FL,081,4148708
Bristol,30.43247,-84.97702,FL,077,4148912
Bronson,29.44774,-82.64233,FL,075,4148957
Brooksville,28.55554,-82.38991,FL,053,4148986
Bunnell,29.46609,-81.25784,FL,035,4149363
Bushnell,28.66499,-82.11286,FL,119,4149433
Chipley,30.78186,-85.53854,FL,133,4150769
Clearwater,27.96585,-82.8001,FL,103,4151316
Crawfordville,30.17604,-84.37518,FL,129,4152267
Crestview,30.76213,-86.57051,FL,091,4152311
Cross City,29.63465,-83.12694,FL,029,4152395
Dade City,28.36472,-82.19592,FL,101,4152695
DeFuniak Springs,30.72102,-86.11522,FL,131,4152888
DeLand,29.02832,-81.30312,FL,127,4152890
Fernandina Beach,30.66968,-81.46259,FL,089,4155006
Fort Lauderdale,26.12231,-80.14338,FL,011,4155966
Fort Myers,26.62168,-81.84059,FL,071,4155995
Fort Pierce,27.44671,-80.32561,FL,111,4156018
Gainesville,29.65163,-82.32483,FL,001,4156404
Green Cove Springs,29.99191,-81.67815,FL,019,4157427
Inverness,28.83582,-82.33037,FL,017,4159786
Jacksonville,30.33218,-81.65565,FL,031,4160021
Jasper,30.51827,-82.94819,FL,047,4160102
Key West,24.55524,-81.78163,FL,087,4160812
Kissimmee,28.30468,-81.41667,FL,097,4160983
LaBelle,26.76173,-81.43841,FL,051,4161075
Lake Butler,30.02274,-82.33956,FL,125,4161171
Lake City,30.18968,-82.63929,FL,023,4161187
Live Oak,30.29495,-82.98402,FL,121,4162461
Macclenny,30.28218,-82.12206,FL,003,4163083
Madison,30.46938,-83.41293,FL,079,4163140
Marianna,30.77436,-85.22687,FL,063,4163428
Mayo,30.053,-83.17486,FL,067,4163723
Miami,25.77427,-80.19366,FL,086,4164138
Milton,30.63241,-87.03969,FL,113,4164547
Monticello,30.54515,-83.8713,FL,065,4164803
Moore Haven,26.83312,-81.09312,FL,043,4164836
Naples,26.14234,-81.79596,FL,021,4165565
Ocala,29.1872,-82.14009,FL,083,4166673
Okeechobee,27.24393,-80.82978,FL,093,4166822
Orlando,28.53834,-81.37924,FL,095,4167147
Palatka,29.64858,-81.63758,FL,107,4167482
Panama City,30.15946,-85.65983,FL,005,4167694
Pensacola,30.42131,-87.21691,FL,033,4168228
Perry,30.11766,-83.58274,FL,123,4168244
Port Saint Joe,29.81188,-85.30297,FL,045,4169166
Punta Gorda,26.92978,-82.04537,FL,015,4169452
Quincy,30.58714,-84.58325,FL,039,4169510
Saint Augustine,29.89469,-81.31452,FL,109,4170894
Sanford,28.80055,-81.27312,FL,117,4172086
Sarasota,27.33643,-82.53065,FL,115,4172131
Sebring,27.49559,-81.44091,FL,055,4172383
Starke,29.94413,-82.10983,FL,007,4173999
Stuart,27.19755,-80.25283,FL,085,4174201
Tampa,27.94752,-82.45843,FL,057,4174757
Tavares,28.80416,-81.72563,FL,069,4174861
Titusville,28.61222,-80.80755,FL,009,4175437
Trenton,29.61329,-82.81762,FL,041,4175637
Vero Beach,27.63864,-80.39727,FL,061,4176409
Wauchula,27.54726,-81.81147,FL,049,4177569
West Palm Beach,26.71534,-80.05337,FL,099,4177887
Abbeville,31.99212,-83.30682,GA,315,4178992
Adel,31.13727,-83.42408,GA,075,4179193
Alamo,32.14712,-82.77792,GA,309,4179313
Albany,31.57851,-84.15574,GA,095,4179320
Alma,31.53937,-82.46236,GA,005,4179557
Americus,32.07239,-84.23269,GA,261,4179667
Appling,33.54608,-82.3173,GA,073,4180085
Ashburn,31.70601,-83.65322,GA,287,4180316
Athens,33.96095,-83.37794,GA,059,4180386
Augusta,33.47097,-81.97484,GA,245,4180531
Bainbridge,30.9038,-84.57547,GA,087,4180775
Barnesville,33.05457,-84.15575,GA,171,4181110
Baxley,31.77825,-82.34846,GA,001,4181333
Blackshear,31.30605,-82.24207,GA,229,4183305
Blairsville,34.8762,-83.95824,GA,291,4183354
Blakely,31.37768,-84.93409,GA,099,4183363
Blue Ridge,34.86397,-84.32409,GA,111,4183521
Brunswick,31.14995,-81.49149,GA,127,4184845
Buchanan,33.8026,-85.18856,GA,143,4184962
Buena Vista,32.31904,-84.51714,GA,197,4185076
Butler,32.55709,-84.23825,GA,269,4185437
Cairo,30.87751,-84.20214,GA,131,4185632
Calhoun,34.50259,-84.95105,GA,129,4185657
Camilla,31.23129,-84.21046,GA,205,4185863
Canton,34.23676,-84.49076,GA,057,4186213
Carnesville,34.36983,-83.23516,GA,119,4186352
Carrollton,33.58011,-85.07661,GA,045,4186416
Cartersville,34.16533,-84.80231,GA,015,4186531
Cedartown,34.01123,-85.25593,GA,233,4186955
Chatsworth,34.76591,-84.76994,GA,213,4187435
Clarkesville,34.6126,-83.52489,GA,137,4188197
Claxton,32.16158,-81.904,GA,109,4188239
Clayton,34.87815,-83.40099,GA,241,4188287
Cleveland,34.59704,-83.76324,GA,311,4188377
Cochran,32.38683,-83.35461,GA,023,4188590
Colquitt,31.17129,-84.73325,GA,201,4188934
Columbus,32.46098,-84.98771,GA,215,4188985
Conyers,33.66761,-84.01769,GA,247,4189213
Cordele,31.96351,-83.78239,GA,081,4189423
Covington,33.59678,-83.86018,GA,217,4189785
Crawfordville,33.55402,-82.89598,GA,265,4189960
Cumming,34.20732,-84.14019,GA,117,4190396
Cusseta,32.30543,-84.7727,GA,053,4190434
Cuthbert,31.77127,-84.78937,GA,243,4190451
Dahlonega,34.53259,-83.98491,GA,187,4190542
Dalton,34.7698,-84.97022,GA,313,4190581
Dallas,33.92371,-84.84077,GA,223,4190598
Danielsville,34.12428,-83.22126,GA,195,4190721
Dawson,31.77382,-84.448,GA,273,4190953
Dawsonville,34.42121,-84.11908,GA,085,4190979
Decatur,33.77483,-84.29631,GA,089,4191124
Donalsonville,31.04046,-84.87909,GA,253,4191735
Douglas,31.50881,-82.84987,GA,069,4191916
Douglasville,33.7515,-84.74771,GA,097,4191955
Dublin,32.54044,-82.90375,GA,175,4192205
Eastman,32.19767,-83.17765,GA,091,4192754
Eatonton,33.3268,-83.3885,GA,237,4192800
Elberton,34.11159,-82.86863,GA,105,4193099
Ellaville,32.23821,-84.30908,GA,249,4193210
Ellijay,34.69481,-84.48215,GA,123,4193229
Fayetteville,33.44873,-84.45493,GA,113,4194474
Fitzgerald,31.71491,-83.25265,GA,017,4195168
Folkston,30.83095,-82.01131,GA,049,4195600
Forsyth,33.0343,-83.93824,GA,207,4195771
Fort Gaines,31.60924,-85.04933,GA,061,4195809
Fort Valley,32.55376,-83.88741,GA,225,4195869
Franklin,33.27762,-85.098,GA,149,4196083
Gainesville,34.29788,-83.82407,GA,139,4196586
Georgetown,31.88461,-85.10743,GA,239,4196919
Gibson,33.23348,-82.59541,GA,125,4197055
Gray,33.00958,-83.53378,GA,169,4197938
Greensboro,33.57568,-83.18238,GA,133,4198204
Greenville,33.02874,-84.71298,GA,199,4198218
Griffin,33.24678,-84.26409,GA,255,4198322
Hamilton,32.75791,-84.87493,GA,145,4198912
Hartwell,34.35288,-82.93209,GA,147,4199572
Hawkinsville,32.28377,-83.47212,GA,235,4199694
Hazlehurst,31.86963,-82.5943,GA,161,4199778
Hiawassee,34.94926,-83.75739,GA,281,4200188
Hinesville,31.84688,-81.59595,GA,179,4200671
Homer,34.33372,-83.49905,GA,011,4201141
Homerville,31.0366,-82.74708,GA,065,4201144
Irwinton,32.81126,-83.17265,GA,319,4202277
Jackson,33.29457,-83.96602,GA,035,4202426
Jasper,34.46787,-84.42909,GA,227,4202634
Jefferson,34.11705,-83.57239,GA,157,4202672
Jeffersonville,32.68765,-83.34656,GA,289,4202699
Jonesboro,33.5215,-84.35381,GA,063,4203316
Knoxville,32.72431,-83.99769,GA,079,4204196
LaFayette,34.7048,-85.2819,GA,295,4204241
Lakeland,31.04104,-83.07515,GA,173,4204775
Lawrenceville,33.95621,-83.98796,GA,135,4205196
Leesburg,31.73212,-84.17074,GA,177,4205392
Lexington,33.86984,-83.11182,GA,221,4205541
Lincolnton,33.79235,-82.47902,GA,181,4205797
Louisville,33.00154,-82.41124,GA,163,4206882
Ludowici,31.70799,-81.74234,GA,183,4207083
Lumpkin,32.05099,-84.79909,GA,259,4207128
Lyons,32.20435,-82.32179,GA,279,4207205
Macon,32.84069,-83.6324,GA,021,4207400
Madison,33.59568,-83.46794,GA,211,4207447
Marietta,33.9526,-84.54993,GA,067,4207783
McDonough,33.44734,-84.14686,GA,151,4208442
McRae,32.06795,-82.9007,GA,271,4208683
Metter,32.39712,-82.06012,GA,043,4209013
Milledgeville,33.08014,-83.2321,GA,009,4209448
Millen,32.80405,-81.94928,GA,165,4209454
Monroe,33.79484,-83.71323,GA,297,4209884
Monticello,33.30485,-83.68323,GA,159,4209951
Morgan,31.53767,-84.59936,GA,037,4210099
Moultrie,31.17991,-83.78906,GA,071,4210397
Mount Vernon,32.17851,-82.59458,GA,209,4211083
Nahunta,31.20439,-81.98123,GA,025,4211775
Nashville,31.20742,-83.25015,GA,019,4211839
Newnan,33.38067,-84.79966,GA,077,4212684
Newton,31.31296,-84.33574,GA,007,4212728
Ocilla,31.59447,-83.2513,GA,155,4213812
Oglethorpe,32.29377,-84.06102,GA,193,4213919
Pearson,31.2977,-82.85237,GA,003,4215163
Pembroke,32.13634,-81.62348,GA,029,4215251
Perry,32.45821,-83.73157,GA,153,4215391
Preston,32.06599,-84.53742,GA,307,4217343
Quitman,30.78492,-83.55988,GA,027,4217712
Reidsville,32.08686,-82.1179,GA,267,4218414
Ringgold,34.91591,-85.10912,GA,047,4218896
Rome,34.25704,-85.16467,GA,115,4219762
Sandersville,32.98154,-82.81014,GA,303,4221206
Savannah,32.08354,-81.09983,GA,051,4221552
Soperton,32.37712,-82.59236,GA,283,4223516
Sparta,33.2757,-82.97626,GA,141,4223880
Springfield,32.37241,-81.3115,GA,103,4224162
Statenville,30.70327,-83.02764,GA,101,4224412
Statesboro,32.44879,-81.78317,GA,031,4224413
Summerville,34.48064,-85.34773,GA,055,4225122
Swainsboro,32.59739,-82.33374,GA,107,4225346
Sylvania,32.75044,-81.63678,GA,251,4225515
Sylvester,31.53092,-83.83693,GA,321,4225522
Talbotton,32.67764,-84.53937,GA,263,4225613
Thomasville,30.83658,-83.97878,GA,275,4226348
Thomaston,32.88819,-84.32659,GA,293,4226364
Thomson,33.47069,-82.50457,GA,189,4226435
Tifton,31.45046,-83.5085,GA,277,4226552
Toccoa,34.57732,-83.33239,GA,257,4226722
Valdosta,30.83334,-83.28032,GA,185,4228147
Vienna,32.09156,-83.79545,GA,093,4228440
Warrenton,33.40708,-82.66208,GA,301,4229517
Washington,33.73679,-82.73931,GA,317,4229546
Watkinsville,33.8629,-83.40877,GA,219,4229691
Waycross,31.21368,-82.3557,GA,299,4229763
Waynesboro,33.08987,-82.01567,GA,033,4229791
Winder,33.99261,-83.72017,GA,013,4231523
Woodbine,30.96396,-81.72416,GA,039,4231725
Wrightsville,32.72933,-82.71986,GA,167,4232049
Zebulon,33.10235,-84.3427,GA,231,4232308
Albion,38.37755,-88.05615,IL,047,4232568
Benton,37.99672,-88.92007,IL,055,4233586
Belleville,38.52005,-89.98399,IL,163,4233813
Cairo,37.00533,-89.17646,IL,003,4234985
Carlinville,39.27977,-89.88177,IL,117,4235211
Carlyle,38.61033,-89.37258,IL,027,4235229
