cat_code,country,county,f_class,f_code,gid,lat,lon,name,state
US.AL.003,US,3,P,PPLA2,4046255,30.882959999999997,-87.77305,Bay Minette,AL
US.TX.239,US,239,P,PPLA2,4046274,28.978590000000004,-96.64609,Edna,TX
US.TX.401,US,401,P,PPLA2,4046332,32.153220000000005,-94.79938,Henderson,TX
US.VA.199,US,199,P,PPLA2,4046946,37.23876,-76.50967,Yorktown,VA
US.AL.113,US,113,A,ADM2,4047434,32.28838,-85.18496,Russell County,AL
US.GA.183,US,183,A,ADM2,4048080,31.75258,-81.74577,Long County,GA
US.KS.163,US,163,P,PPLA2,4048488,39.43807,-99.2651,Stockton,KS
US.KY.015,US,15,A,ADM2,4048522,38.96986,-84.72787,Boone County,KY
US.KY.205,US,205,A,ADM2,4048572,38.196259999999995,-83.42108,Rowan County,KY
US.KY.145,US,145,P,PPLA2,4048662,37.08339,-88.60005,Paducah,KY
US.AL.007,US,7,A,ADM2,4049189,32.99864,-87.12644,Bibb County,AL
US.AL.073,US,73,P,PPLA2,4049979,33.52066,-86.80249,Birmingham,AL
US.TN.013,US,13,A,ADM2,4050506,36.40351,-84.14938000000001,Campbell County,TN
US.AL.009,US,9,A,ADM2,4050633,33.98087,-86.56737,Blount County,AL
US.AL.053,US,53,P,PPLA2,4051714,31.105179999999997,-87.07219,Brewton,AL
US.AL.011,US,11,A,ADM2,4052497,32.10055,-85.7157,Bullock County,AL
US.AL.023,US,23,P,PPLA2,4052726,32.08959,-88.22197,Butler,AL
US.AL.013,US,13,A,ADM2,4052744,31.75243,-86.68029,Butler County,AL
US.AL.015,US,15,A,ADM2,4053062,33.77143,-85.82603,Calhoun County,AL
US.AL.131,US,131,P,PPLA2,4053200,31.99098,-87.29055,Camden,AL
US.AL.107,US,107,P,PPLA2,4053823,33.26169,-88.09503000000001,Carrollton,AL
US.AL.019,US,19,P,PPLA2,4054555,34.15204,-85.67885,Centre,AL
US.AL.007,US,7,P,PPLA2,4054566,32.9462,-87.11669,Centreville,AL
US.AL.017,US,17,A,ADM2,4054621,32.91437,-85.39204000000001,Chambers County,AL
US.AL.129,US,129,P,PPLA2,4054818,31.46517,-88.25446,Chatom,AL
US.AL.019,US,19,A,ADM2,4054880,34.175959999999996,-85.60379,Cherokee County,AL
US.AL.021,US,21,A,ADM2,4055067,32.84785,-86.71880999999999,Chilton County,AL
US.AL.023,US,23,A,ADM2,4055170,32.01961,-88.2632,Choctaw County,AL
US.AL.021,US,21,P,PPLA2,4055577,32.83874,-86.62943,Clanton,AL
