gid,name,lat,lon,f_class,f_code,country,state,county
4046255,Bay Minette,30.882959999999997,-87.77305,P,PPLA2,US,AL,003
4046274,Edna,28.978590000000004,-96.64609,P,PPLA2,US,TX,239
4046332,Henderson,32.153220000000005,-94.79938,P,PPLA2,US,TX,401
4046946,Yorktown,37.23876,-76.50967,P,PPLA2,US,VA,199
4047434,Russell County,32.28838,-85.18496,A,ADM2,US,AL,113
4048080,Long County,31.75258,-81.74577,A,ADM2,US,GA,183
4048488,Stockton,39.43807,-99.2651,P,PPLA2,US,KS,163
4048522,Boone County,38.96986,-84.72787,A,ADM2,US,KY,015
4048572,Rowan County,38.196259999999995,-83.42108,A,ADM2,US,KY,205
4048662,Paducah,37.08339,-88.60005,P,PPLA2,US,KY,145
4049189,Bibb County,32.99864,-87.12644,A,ADM2,US,AL,007
4049979,Birmingham,33.52066,-86.80249,P,PPLA2,US,AL,073
4050506,Campbell County,36.40351,-84.14938000000001,A,ADM2,US,TN,013
4050633,Blount County,33.98087,-86.56737,A,ADM2,US,AL,009
4051714,Brewton,31.105179999999997,-87.07219,P,PPLA2,US,AL,053
4052497,Bullock County,32.10055,-85.7157,A,ADM2,US,AL,011
4052726,Butler,32.08959,-88.22197,P,PPLA2,US,AL,023
4052744,Butler County,31.75243,-86.68029,A,ADM2,US,AL,013
4053062,Calhoun County,33.77143,-85.82603,A,ADM2,US,AL,015
4053200,Camden,31.99098,-87.29055,P,PPLA2,US,AL,131
4053823,Carrollton,33.26169,-88.09503000000001,P,PPLA2,US,AL,107
4054555,Centre,34.15204,-85.67885,P,PPLA2,US,AL,019
4054566,Centreville,32.9462,-87.11669,P,PPLA2,US,AL,007
4054621,Chambers County,32.91437,-85.39204000000001,A,ADM2,US,AL,017
4054818,Chatom,31.46517,-88.25446,P,PPLA2,US,AL,129
4054880,Cherokee County,34.175959999999996,-85.60379,A,ADM2,US,AL,019
4055067,Chilton County,32.84785,-86.71880999999999,A,ADM2,US,AL,021
4055170,Choctaw County,32.01961,-88.2632,A,ADM2,US,AL,023
4055577,Clanton,32.83874,-86.62943,P,PPLA2,US,AL,021
4055624,Clarke County,31.67666,-87.83081,A,ADM2,US,AL,025
4055660,Clay County,33.269090000000006,-85.86055,A,ADM2,US,AL,027
